Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
62,78,65,76,15-02-2018,1
65,80,68,78,10-05-2018,1
68,82,70,80,20-01-2019,2
70,85,72,82,18-03-2019,2
72,88,74,85,12-06-2019,3
75,90,76,88,25-09-2019,3
78,92,78,90,10-01-2020,4
80,95,80,92,14-03-2020,4
60,75,60,75,05-07-2018,1
63,77,62,77,19-10-2018,1
66,79,65,79,08-02-2019,2
69,83,68,81,22-04-2019,2
71,86,70,84,30-07-2019,3
73,89,73,87,11-11-2019,3
76,91,75,89,20-02-2020,4
79,93,77,91,18-05-2020,4
61,76,61,76,09-03-2018,1
64,78,64,78,21-06-2018,1
67,81,67,80,05-01-2019,2
70,84,69,83,28-03-2019,2
72,87,72,86,14-08-2019,3
74,90,74,88,02-12-2019,3
77,92,76,90,07-04-2020,4
80,94,79,93,25-06-2020,5
62,77,63,77,13-09-2018,1
65,79,66,79,29-11-2018,1
68,82,69,82,16-05-2019,2
71,85,71,85,08-10-2019,3
75,88,74,87,30-01-2020,3
78,91,78,92,17-02-2021,5
