State,Till year 2021
Uttar Pradesh,240000000
Maharashtra,124000000
Bihar,127000000
West Bengal,100000000
Madhya Pradesh,87000000
Tamil Nadu,78000000
Rajasthan,81000000
Karnataka,68000000
Gujarat,70000000
Andhra Pradesh,54000000
Odisha,46000000
Telangana,39000000
Kerala,35000000
Jharkhand,39000000
Assam,36000000
Punjab,31000000
Chhattisgarh,30000000
Haryana,29000000
Delhi,20000000
Jammu and Kashmir,14000000
Uttarakhand,11000000
Himachal Pradesh,7500000
Tripura,4200000
Meghalaya,3400000
Manipur,3200000
Nagaland,2200000
Goa,1600000
Arunachal Pradesh,1500000
Puducherry,1500000
Mizoram,1300000
Chandigarh,1200000
Sikkim,700000
Andaman and Nicobar Islands,400000
Dadra and Nagar Haveli and Daman and Diu,1200000
Lakshadweep,70000
Ladakh,300000
